,Chuquisaca,La Paz,Cochabamba,Oruro,Potosí,Tarija,Santa Cruz,Beni,Pando,tipo
2022-03-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-03-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-18,309.00,1652.00,-66.00,5.00,823.00,7.00,519.00,442.00,0.00,unica
2022-04-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-04-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-12,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-15,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-23,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-05-31,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-07,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
2022-06-08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,unica
